ARRASTO;DATA;LATITUDE INICIAL;LATITUDE FINAL;LONGITUDE INICIAL;LONGITUDE FINAL
1.0;21/10/2019;1.9946833333333331;2.0520666666666667;-48.5575;-48.592933333333335
1.0;29/06/2022;3.785833333333333;3.6685833333333333;-50.34943333333333;-50.24125
1.0;19/10/2022;4.01125;4.027633333333333;-50.51586666666667;-50.52325
2.0;21/10/2019;2.0589666666666666;2.124033333333333;-48.6027;-48.640633333333334
2.0;30/06/2022;3.716616666666667;3.7357833333333335;-50.23815;-50.20271666666667
2.0;19/10/2022;4.022366666666667;4.104683333333333;-50.522333333333336;-50.455333333333336
2.0;07/09/2023;3.7441666666666666;3.8066;-50.31195;-50.29978333333333
3.0;22/10/2019;3.3186333333333335;3.41335;-49.836616666666664;-49.915
3.0;01/07/2022;3.7180555555555554;3.752883333333333;-50.214933333333335;-50.20976666666667
3.0;20/10/2022;4.121866666666667;4.1519;-50.428783333333335;-50.40521666666667
3.0;07/09/2023;3.80795;3.7247833333333333;-50.16888888888889;-50.305883333333334
4.0;22/10/2019;3.547083333333333;3.610333333333333;-50.0252;-50.066183333333335
4.0;01/07/2022;3.604433333333333;3.568783333333333;-50.19931666666667;-50.16976666666667
4.0;21/10/2022;4.1617;4.142933333333334;-50.39735;-50.41505
4.0;08/09/2023;3.81055;3.743;-50.3878;-50.30266666666667
5.0;23/10/2019;3.656416666666667;3.7310833333333333;-50.18033333333333;-50.21265
5.0;01/07/2022;3.5690333333333335;3.5898333333333334;-50.17041666666667;-50.203183333333335
5.0;21/10/22;4.093266666666667;4.2426;-50.59845;-50.74835
5.0;08/09/2023;3.7734666666666667;3.6907666666666668;-50.321;-50.26948333333333
6.0;23/10/2019;3.8107;3.8050333333333333;-50.227983333333334;-50.2197
6.0;02/07/2022;3.58515;3.592833333333333;-50.207366666666665;-50.220533333333336
6.0;21/10/22;4.2463;4.2075;-50.74568333333333;-50.69728333333333
6.0;08/09/2023;3.7393;3.680833333333333;-50.27;-50.268566666666665
7.0;24/10/2019;4.70225;4.6946666666666665;-51.4036;-51.45238333333333
7.0;02/07/2022;3.5972166666666667;3.566333333333333;-50.2243;-50.22971666666667
7.0;21/10/2022;4.208633333333333;4.307816666666667;-50.59888333333333;-50.494683333333334
7.0;09/09/2023;3.6691666666666665;3.6988333333333334;-50.283;-50.27855
8.0;24/10/2019;4.69325;4.691833333333333;-51.44441666666667;-51.4422
8.0;02/07/2022;3.5604;3.6191666666666666;-50.223816666666664;-50.13825
8.0;22/10/2022;4.30785;4.232;-50.49316666666667;-50.57783333333333
8.0;09/09/2023;3.6872;3.67385;-50.27738333333333;-50.27805
9.0;25/10/2019;4.676583333333333;4.6697;-51.43833333333333;-51.43155
9.0;02/07/2022;3.58195;3.5861833333333335;-50.2651;-50.13825
9.0;22/10/2022;4.158283333333333;4.1589;-50.65828333333333;-50.66591666666667
9.0;09/09/2023;3.674366666666667;3.648766666666667;-50.27368333333333;-50.259
10.0;25/10/2019;4.67555;4.671583333333333;-51.438766666666666;-51.456633333333336
10.0;02/07/2022;3.58195;3.574883333333333;-50.1326;-50.1205
10.0;22/10/2022;4.158383333333333;4.1945;-50.665333333333336;-50.69716666666667
10.0;10/09/2023;3.680277777777778;3.6612333333333336;-50.23781666666667;-50.255716666666665
11.0;26/10/2019;4.264433333333334;4.233183333333334;-50.5833;-50.593833333333336
11.0;01/11/2022;3.6832333333333334;3.676083333333333;-50.25555;-50.22456666666667
11.0;21/09/2023;3.5666666666666664;3.5269333333333335;-50.064233333333334;-50.056583333333336
12.0;26/10/2019;4.243266666666667;4.233216666666666;-50.60766666666667;-50.62361666666666
12.0;01/11/2022;3.67225;3.6598166666666665;-50.223333333333336;-50.22493333333333
12.0;21/09/2023;3.52965;3.54185;-50.06078333333333;-50.047783333333335
13.0;27/10/2019;4.228716666666667;4.245633333333333;-50.635733333333334;-50.59953333333333
13.0;01/11/2022;3.658533333333333;3.7074333333333334;-50.23308333333333;-50.28798333333334
13.0;21/09/2023;3.54985;3.515016666666667;-50.047;-50.0444
14.0;27/10/2019;4.238083333333333;4.206616666666667;-50.6123;-50.64833333333333
14.0;01/11/2022;3.7022666666666666;3.6813666666666665;-50.176833333333335;-50.25278333333333
15.0;28/10/2019;4.221166666666667;4.232216666666667;-50.647666666666666;-50.60805555555555
15.0;22/09/2023;3.5309666666666666;3.5537166666666664;-50.027366666666666;-49.02565
16.0;28/10/2019;4.255983333333333;4.256016666666667;-50.59386666666666;-50.596833333333336
16.0;02/11/2022;3.6709;3.6635;-50.260533333333335;-50.247566666666664
16.0;22/09/2023;3.5555333333333334;3.5213166666666664;-50.016666666666666;-50.02891666666667
17.0;29/10/2019;4.265833333333333;4.186283333333333;-50.456916666666665;-50.5233
17.0;02/11/2022;3.6527666666666665;3.5477833333333333;-50.25355;-50.11173333333333
17.0;23/09/2023;3.52735;3.4870833333333335;-50.023066666666665;-50.01926666666667
18.0;29/10/2019;4.195;4.17885;-50.53221666666666;-50.534166666666664
18.0;03/11/2022;3.5557833333333333;3.6062333333333334;-50.11245;-50.171
18.0;23/09/2023;3.487416666666667;3.485316666666667;-50.0213;-50.02206666666667
19.0;29/10/2019;4.195;4.155783333333333;-50.53221666666666;-50.55833333333333
19.0;03/11/2022;3.59675;3.664;-50.15951666666667;-50.25246666666666
19.0;23/09/2023;3.4926166666666667;3.4809666666666668;-50.02673333333333;-50.004133333333336
20.0;29/10/2019;4.15635;4.188416666666667;-50.55781666666667;-50.59141666666667
20.0;03/11/2022;3.6716166666666665;3.681783333333333;-50.25845;-50.277433333333335
20.0;24/09/2023;3.47885;3.415233333333333;-50.00355;-49.96905
21.0;30/10/2019;4.1890833333333335;4.18875;-50.525133333333336;-50.53306666666667
22.0;30/10/2019;4.191833333333333;4.1741166666666665;-50.530966666666664;-50.54408333333333
24.0;31/10/2019;4.157183333333333;4.162866666666667;-50.57222222222222;-50.55546666666667
25.0;31/10/2019;4.162866666666667;4.179583333333333;-50.55546666666667;-50.5324
26.0;01/11/2019;4.261133333333333;4.243116666666666;-50.578383333333335;-50.60196666666667
27.0;01/11/2019;4.2472666666666665;4.269516666666667;-50.599383333333336;-50.58011666666667
28.0;02/11/2019;4.262616666666666;4.266166666666667;-50.5774;-50.5917
29.0;02/11/2019;4.255466666666667;4.235416666666667;-50.58513333333333;-50.61128333333333
30.0;02/11/2019;4.236083333333333;4.24805;-50.61553333333333;-50.59336666666667
31.0;03/11/2019;4.245283333333333;4.24325;-50.61116666666667;-50.615833333333335
32.0;04/11/2019;4.262533333333334;4.229;-50.57801666666667;-50.631233333333334
33.0;06/11/2019;1.7106666666666666;1.5756999999999999;-48.43995;-48.04841666666667
34.0;07/11/2019;1.0238888888888888;1.0570833333333334;-48.03118333333333;-48.044216666666664
21.0;17-fev.-17;0.970305556;0.988;-47.80416667;-47.883
22.0;17-fev.-17;1.267305556;1.355805556;-48.02294444;-48.10211111
23.0;18-fev.-17;1.604722222;1.60825;-48.3055;-48.29830556
24.0;19-fev.-17;1.6045;1.594805556;-48.33677778;-48.32788889
25.0;20-fev.-17;1.610388889;1.607666667;-48.38405556;-48.40333333
26.0;20-fev.-17;1.607666667;1.63725;-48.38888889;-48.401
27.0;21-fev.-17;1.525583333;1.570194444;-48.35008333;-48.37047222
28.0;22-fev.-17;1.398444444;1.25675;-48.19266667;-48.127
32.0;24-fev.-17;1.806888889;1.806611111;-48.41063889;-48.46375
33.0;25-fev.-17;1.581694444;1.604666667;-48.36163889;-48.33544444
35.0;26-fev.-17;0.936194444;0.923194444;-47.83819444;-47.83758333
37.0;27-fev.-17;1.300916667;1.427222222;-48.03441667;-48.11875
38.0;28-fev.-17;1.567305556;1.487583333;-48.22047222;-48.16238889
39.0;01-mar.-17;1.327416667;1.353194444;-48.04861111;-48.08572222
42.0;04-mar.-17;1.417861111;1.394611111;-48.07275;-48.10069444
43.0;05-mar.-17;2.010388889;1.074472222;-47.87494444;-47.88872222
